DBN,Year,Not_Meeting_Pct,Partially_Meeting_Pct,Meeting_Pct
84K508,2016-01-01,7.957142857142856,29.67142857142857,62.38571428571429
84K508,2017-01-01,6.742857142857143,26.11428571428572,67.14285714285714
84K508,2018-01-01,6.557142857142858,15.614285714285714,77.82857142857142
84K508,2019-01-01,3.542857142857143,14.971428571428572,81.48571428571428
84K517,2013-01-01,11.166666666666666,38.28333333333333,50.56666666666666
84K517,2014-01-01,7.142857142857143,25.314285714285713,67.54285714285714
84K517,2015-01-01,9.766666666666667,24.200000000000003,66.05
84K517,2016-01-01,4.366666666666667,23.483333333333334,72.13333333333333
84K517,2017-01-01,6.683333333333334,26.71666666666667,66.61666666666666
84K517,2018-01-01,8.183333333333334,20.733333333333334,71.05
84K517,2019-01-01,6.583333333333333,14.9,78.51666666666667
84K536,2013-01-01,23.619999999999997,29.419999999999998,46.94
